# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
3360 10 1.03574 1 8.8 1.34e-05 0.055108
3370 10 1.03574 1.2 16.2 3.74e-05 0.055482
3380 10 1.03574 1 13.8 1.98e-05 0.05568
3390 10 1.04151 1.1 13 2.88e-05 0.055968
3400 10 1.04151 1.1 14.5 2.93e-05 0.056261
3410 10 1.04151 1.3 19.3 3.53e-05 0.056614
3420 10 1.04151 1.1 17.2 2.8e-05 0.056894
3430 10 1.04989 1 15.2 2.03e-05 0.057097
3440 10 1.04989 1.3 20 3.91e-05 0.057488
3450 10 1.05909 1 15.7 2.66e-05 0.057754
3460 10 1.05909 1.5 21.6 4.04e-05 0.058158
3470 10 1.05909 1 10.1 1.92e-05 0.05835
3480 10 1.05909 1 16.6 2.74e-05 0.058624
3490 10 1.05909 1.1 16.4 2.75e-05 0.058899
3500 10 1.06257 1.1 16 3.1e-05 0.059209
3510 10 1.07527 1.1 14.3 2.93e-05 0.059502
3520 10 1.07527 1 17.1 2.71e-05 0.059773
3530 10 1.07527 1 13.1 2.84e-05 0.060057
3540 10 1.08453 1.1 22.4 3.63e-05 0.06042
3550 10 1.09378 1.1 16.8 2.91e-05 0.060711
3560 10 1.09378 1.2 22.5 4.52e-05 0.061163
3570 10 1.09378 1.2 15.8 3.33e-05 0.061496
3580 10 1.09378 1 21.5 3.67e-05 0.061863
3590 10 1.1015 1.1 16.1 3.28e-05 0.062191
3600 10 1.1015 1 23 3e-05 0.062491
3610 10 1.1015 1.2 20 3.32e-05 0.062823
3620 10 1.1015 1 13.2 2.71e-05 0.063094
3630 10 1.1015 1.2 20.1 4.09e-05 0.063503
3640 10 1.10941 1.1 16.4 4.19e-05 0.063922
3650 10 1.10941 1 20.1 3.63e-05 0.064285
3660 10 1.10941 1 19.9 3.14e-05 0.064599
3670 10 1.10941 1.3 21 4.77e-05 0.065076
3680 10 1.10941 1.1 24.4 4.17e-05 0.065493
3690 10 1.10941 1 15.1 3e-05 0.065793
3700 10 1.10941 1 14.2 2.77e-05 0.06607
3710 10 1.10941 1.2 20 3.81e-05 0.066451
3720 10 1.10941 1 23.6 4.03e-05 0.066854
3730 10 1.10941 1 19.9 3.36e-05 0.06719
3740 10 1.11821 1.1 12.8 3.37e-05 0.067527
3750 10 1.11821 1 14.5 3.09e-05 0.067836
3760 10 1.11821 1.2 21 3.64e-05 0.0682
3770 10 1.12785 1 28.1 3.5e-05 0.06855
3780 10 1.12785 1 23.7 2.77e-05 0.068827
3790 10 1.13623 1.2 18.9 3.67e-05 0.069194
3800 10 1.13623 1.1 21 3.77e-05 0.069571
3810 10 1.13623 1.3 22.7 4.01e-05 0.069972
3820 10 1.13623 1.1 21.4 3.6e-05 0.070332
3830 10 1.13687 1 17.6 2.92e-05 0.070624
3840 10 1.13917 1.2 20.3 4.03e-05 0.071027
3850 10 1.13917 1 10.5 2.39e-05 0.071266
3860 10 1.13917 1.1 17.3 4.02e-05 0.071668
3870 10 1.13917 1.1 18.5 4.47e-05 0.072115
3880 10 1.13917 1 21.4 2.92e-05 0.072407
3890 10 1.13917 1 14.9 3.34e-05 0.072741
3900 10 1.13917 1.4 23.5 4.86e-05 0.073227
3910 10 1.14202 1 10.6 2.05e-05 0.073432
3920 10 1.14202 1 14.4 2.94e-05 0.073726
3930 10 1.14202 1.2 17.1 3.5e-05 0.074076
3940 10 1.14202 1.2 24.2 3.93e-05 0.074469
3950 10 1.14202 1 11.7 2.1e-05 0.074679
3960 10 1.14202 1.1 16.8 3.33e-05 0.075012
3970 10 1.14202 1.1 21.4 3.56e-05 0.075368
3980 10 1.14202 1 15.6 2.24e-05 0.075592
3990 10 1.14202 1 15.3 2.52e-05 0.075844
4000 10 1.14512 1.1 22.7 4.69e-05 0.076313
4010 10 1.14512 1.1 13.6 3.24e-05 0.076637
4020 10 1.14512 1.4 21.8 4.53e-05 0.07709
4030 10 1.14512 1.2 18.7 4.23e-05 0.077513
4040 10 1.14512 1 20.4 3.82e-05 0.077895
4050 10 1.14512 1 13.9 2.32e-05 0.078127
4060 10 1.14512 1.1 22.2 4.49e-05 0.078576
4070 10 1.14512 1 11.1 2.39e-05 0.078815
4080 10 1.14512 1.2 17.4 3.8e-05 0.079195
4090 10 1.15007 1.1 21.5 3.11e-05 0.079506
4100 10 1.15007 1.1 19.7 4.53e-05 0.079959
4110 10 1.15007 1.1 16.4 3.29e-05 0.080288
4120 10 1.158 1.2 15.5 5.38e-05 0.080826
4130 10 1.16382 1.3 27.8 4.44e-05 0.08127
4140 10 1.16382 1.5 18.5 6.34e-05 0.081904
4150 10 1.16905 1.2 23.6 4.07e-05 0.082311
4160 10 1.17313 1 17 3.49e-05 0.08266
4170 10 1.17313 1.2 14.2 4.38e-05 0.083098
4180 10 1.17709 1 18.9 3.65e-05 0.083463
4190 10 1.17709 1 16.4 2.86e-05 0.083749
4200 10 1.17709 1.3 19.5 4.93e-05 0.084242
4210 10 1.17709 1 14.2 3.23e-05 0.084565
4220 10 1.17709 1 20.3 3.49e-05 0.084914
4230 10 1.17709 1.3 18.1 5.37e-05 0.085451
4240 10 1.17709 1.1 20.2 4.53e-05 0.085904
4250 10 1.18406 1 17.3 5.38e-05 0.086442
4260 10 1.18406 1.2 19.5 4.25e-05 0.086867
4270 10 1.18406 1.4 21.7 5.53e-05 0.08742
4280 10 1.18406 1.1 12.8 3.69e-05 0.087789
4290 10 1.18822 1.1 23 4.05e-05 0.088194
4300 10 1.18822 1.2 16.2 3.83e-05 0.088577
4310 10 1.18822 1 13.1 2.47e-05 0.088824
4320 10 1.19133 1 14.2 2.44e-05 0.089068
4330 10 1.19133 1.2 14 3.87e-05 0.089455
4340 10 1.19133 1.2 23.8 4.2e-05 0.089875
4350 10 1.19813 1.2 22.3 5.71e-05 0.090446
4360 10 1.19813 1.1 16.7 3.9e-05 0.090836
4370 10 1.19813 1 9.9 2.29e-05 0.091065
4380 10 1.2077 1.3 16.3 4.62e-05 0.091527
4390 10 1.2077 1 22.2 3.37e-05 0.091864
4400 10 1.2077 1.1 21.4 4.69e-05 0.092333
4410 10 1.2077 1 12.8 2.67e-05 0.0926
4420 10 1.2077 1.3 21.4 5.16e-05 0.093116
