# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
2900 10 0.926378 1.2 22.6 2.42e-05 0.03754
2910 10 0.926378 1.1 13.8 2.54e-05 0.037794
2920 10 0.935564 1.1 19.1 2.44e-05 0.038038
2930 10 0.935564 1.1 13.5 2.2e-05 0.038258
2940 10 0.935564 1 12.8 1.38e-05 0.038396
2950 10 0.935564 1 13.6 1.32e-05 0.038528
2960 10 0.935564 1.1 32.2 4.18e-05 0.038946
2970 10 0.943678 1.1 12.2 1.74e-05 0.03912
2980 10 0.943678 1.1 16 2.03e-05 0.039323
2990 10 0.943678 1 15.1 1.72e-05 0.039495
3000 10 0.943678 1.2 17.8 2.39e-05 0.039734
3010 10 0.952562 1 11.6 1.35e-05 0.039869
3020 10 0.961557 1 11.8 1.57e-05 0.040026
3030 10 0.961557 1 13.9 1.91e-05 0.040217
3040 10 0.969118 1.1 18.4 2.68e-05 0.040485
3050 10 0.969118 1 13.4 1.9e-05 0.040675
3060 10 0.969118 1 13.9 1.49e-05 0.040824
3070 10 0.969118 1.1 22 2.47e-05 0.041071
3080 10 0.969118 1.1 16 2.13e-05 0.041284
3090 10 0.973722 1.1 17.8 2.82e-05 0.041566
3100 10 0.973722 1 15.8 2.02e-05 0.041768
3110 10 0.973722 1.1 15.6 2.29e-05 0.041997
3120 10 0.982843 1.1 15 1.9e-05 0.042187
3130 10 0.982843 1 14.1 1.98e-05 0.042385
3140 10 0.988994 1 15 1.64e-05 0.042549
3150 10 0.988994 1.2 28.8 2.72e-05 0.042821
3160 10 0.988994 1.1 15.8 1.86e-05 0.043007
3170 10 0.988994 1.1 18.7 1.95e-05 0.043202
3180 10 0.988994 1.2 12.8 2.52e-05 0.043454
3190 10 0.996867 1.1 17.8 3.21e-05 0.043775
3200 10 0.996867 1.2 20.7 2.96e-05 0.044071
3210 10 1.00459 1.1 19.2 2.48e-05 0.044319
3220 10 1.00459 1.2 17.5 2.09e-05 0.044528
3230 10 1.00459 1.1 19.6 2.93e-05 0.044821
3240 10 1.00459 1.2 19.9 3.16e-05 0.045137
3250 10 1.00459 1.1 15.8 2.21e-05 0.045358
3260 10 1.00459 1.2 16.9 2.83e-05 0.045641
3270 10 1.00459 1.2 21.1 3.23e-05 0.045964
